Perguntas,Respostas
Qual a profissão de Arnold Schwarznegger?,"Ator, fisiculturista, empresário e político."
Onde Arnold Schwarznegger nasceu?,"Thaul, Áustria."
Arnold Schwarznegger tem filhos?,Sim.
Quem é Neymar?,É um futebolista brasileiro.
Neymar é casado?,Não.
Onde Neymar vive?,Não.
Mahatma Gandhi é de que pais?,Índia.
Mahatma Gandhi se formou em que?,Direito.
Quando nasceu Mahatma Gandhi?,2 de outubro de 1869
O que é Nárnia?,"Nárnia é um país fictício e fantástico criado pelo escritor britânico-irlandês C. S. Lewis para As Crónicas de Nárnia, uma série de sete livros infantis."
Qual a capital de Nárnia?,Cair Paravel.
Quem vive em Nárnia ?,O povo de Nárnia.
O que é o Arco do Triunfo?,É um monumento localizado na cidade de Paris.
Onde fica localizado o Arco do Triunfo?,Paris.
Onde fica localizado o Afeganistão?,Ásia.
Qual o número de habitantes do Afeganistão?,"35,53 milhões."
Qual a língua oficial do Afeganistão?,Pastô e Dari.
O que é a LexCorp?,Lexcorp é uma empresa fictícia que aparece nos quadrinhos americanos publicados pela DC Comics.
Quem comanda a LexCorp?,Lex Luthor
Onde fica a sede da LexCorp?,Metropoles.
Quantos estudantes há na UFLA ?,12950.
Quem é o reitor da UFLA?,Professor José Roberto Soares Scolforo.
Quais cursos são ofertados na UFLA?,"Administração, Administração Pública, Agronomia, Ciências Biológicas (Bacharelado), Ciências Biológicas (Licenciatura), Ciência da Computação, Direito Educação Física (Licenciatura), Educação Física (Bacharelado), Engenharia Agrícola, Engenharia Ambiental e Sanitária, Engenharia de Alimentos, Engenharia Civil, Engenharia de Controle e Automação, Engenharia Física, Engenharia Florestal, Engenharia de Materiais, Engenharia Mecânica, Engenharia Química, Filosofia (Licenciatura), Física (Licenciatura), Letras, Pedagogia (Licenciatura), Matemática (Licenciatura), Medicina, Medicina Veterinária, Nutrição, Química(Licenciatura), Química(Bacharelado), Sistemas de Informação, Zootecnia."
Em que ano foi fundada a Oracle?,16 de junho de 1977.
O que a Oracle desenvolve?,Hardware e Software.
Onde fica sediada a Oracle?,"Redwood City, Califórnia. Estados Unidos da América."
O que é uma raposa?,Animla mamífero e onívoro pertencente à família Canidae.
Quando o Arnold Schwarzenegger foi eleito governador do estado da Califórnia ?,7 de outubro de 2003.
Quantas vezes Arnold Schwarzenegger foi campeão de fisiculturismo ?,
Quantos filmes o Arnold Schwarzenegger já fez ?,49.
Por quanto o Neymar foi vendido ao PSG?,222 milhões de euros.
Quantos gols o Neymar já fez pela seleção brasileira ?,60.
Com quantos anos o Neymar foi para o Barcelona ?,20.
Com quantos anos morreu Mahatma Gandhi ?,78.
Onde nasceu Mahatma Gandhi ?,"Porbandar, Distrito de Kathiawar, Índia Britânica"
Quem foi Mahatma Gandhi ?,"Advogado, nacionalista, anticolonialista e especialista em ética política indiana."
Como eu faço para chegar em Nárnia ?,
Onde fica Nárnia ?,
A série de livros das Crónicas de Nárnia é composta por quantos livros ?,7.
Onde fica o Arco do Triunfo ?,Páris.
Quando foi construído o Arco do Triunfo ?,1806-1836.
Quantos metros de altura tem o Arco do Triunfo ?,50.
Em qual continente fica o Afeganistão ?,Ásia.
Qual a moeda usada no Afeganistão ?,Afegane.
Quantos milhões de habitantes possui o Afeganistão ?,"35,53 milhões."
Quem é o dono da LexCorp ?,Lex Luthor.
Que tipo de empresa é a LexCorp ?,Empresa de engenharia aeroespacial.
Quando foi fundada a LexCorp ?,
Qual o número de alunos matriculados na UFLA ?,12950.
Em que ano a ESAL se tornou UFLA ?,1994.
Quantos curso de graduaçao a UFLA possui ?,39.
A Oracle é uma empresa voltada para que tipo de tecnologia ?,Hardware e Software.
Onde fica a sede da Oracle ?,"Redwood City, Califórnia. Estados Unidos da América."
Quando a Oracle foi fundada ?,16 de junho de 1977.
Qual o habit natural da raposa ?,Regiões de clima temperado.
Quantos tipos de raposa existem ?,12.
A alimentação de uma raposa é baseada em que ?,"Pequenos roedores, coelhos, peixes, ovos, frutos e insetos."
O donut é uma comida típica de que país ?,EUA.
Quanto custa um donut ?,3 reais.
Como fazer um donut em casa ?,
Para que serve a nanotecnologia,Produção de circuitos e dispositivos eletrônicos com as dimensões de átomos ou moléculas.
Em quais áreas a nanotecnologia é usada ?,
Como a nanotecnologia tem ajudado a sociedade ?,
Quem é Arnold Schwarzenegger?,
Em que Arnold Schwarzenegger trabalha?,
Quantos familiares Arnold Schwarzenegger possui?,
Quem é Neymar?,Futebolista brasileiro que atua como ponta-esquerda.
Qual time Neymar joga?,Paris Saint Germain.
Qual a idade de Neymar?,27 anos.
Quem é Mahatma Gandhi?,"Advogado, nacionalista, anticolonialista e especialista em ética política indiana."
Qual a idade de Mahatma Gandhi?,78 anos.
Qual a nacionalidade de Mahatma Gandhi?,Indiano.
Onde fica Nárnia?,
Nárnia existe?,
Quantos habitantes tem Nárnia?,
Quem construiu o Arco do Triunfo?,Jean Chalgrin.
Quando foi construido o Arco do Triunfo?,1806-1836.
Em qual país esta localizado o Arco do Triunfo?,França.
Qual a religião predominando no Afeganistão?,Islamismo.
Qual o numero de habitantes do Afeganistão?,"35,53 milhões."
Em qual continente esta localizado o Afeganistão?,Ásia.
Quem é o dono da LexCorp?,
O que a LexCorp produz?,
Onde esta localizada a LexCorp?,
O que significa UFLA?,
Quantos docente e discentes a UFLA tem?,
Quem é o reitor da UFLA?,
O que é a Oracle?,
Quem foi o fundador da Oracle?,
Qual é o ramo de atuação da Oracle?,
Qual é a raça das raposas?,
Qual é o tamanho da raposa?,
Quais são as principais caracteristicas da raposa?,
Como é feito um Donut?,
O que é um Donut?,
Qual a proporção calórica de um Donut?,
O que a Nanotecnologia estuda?,
O que a Nanotecnologia aborda?,
Quais são os possiveis problemas gerados pela Nanotecnologia?,
Quantos filhos tem Arnold Schwarzenegger?,
Onde Arnold Schwarzenegger reside atualmente?,
Quem é o pai de Arnold Schwarzenegger,
Onde Neymar nasceu?,Mogi das Cruzes.
O Neymar já realizou participação especial em quais filmes?,"Os Parças, xXx: Reativado, Eu Sou Bolt, Brasil: A Nation Expects e Santo Marcos. "
Com que idade Neymar começou sua carreira?,11 anos.
Quem matou Mahatma Gandhi?,Nathuram Godse.
Com quem Mahatma Gandhi se casou?,Kasturba Gandhi.
Quem é a filha de Mahatma Gandhi?,Não tem.
Quem é o redentor de Nárnia?,
Por quanto tempo Nárnia permaneceu sob domínio da Feiticeira Branca?,
Quais animais podemos encontrar em Nárnia?,
Quais as dimensões do Arco do Triunfo?,"49,54 × 22,21 m."
Quem construiu o Arco do Triunfo?,Jean Chalgrin.
Por que o Arco do Triunfo foi construído?,Em comemoração às vitórias militares do Napoleão Bonaparte.
Quem foi o primeiro governante do Afeganistão?,Abdur Rahman Khan.
Quando o Afeganistão foi invadido pelos Estados Unidos?,2001.
Quem é o atual governante do Afeganistão?,Ashraf Ghani.
Quando ocorreu o declínio da LexCorp?,
Quem foi o primeiro CEO da LexCorp?,
Para que serve a LexCorp?,
Quem é o atual reitor da UFLA?,
Qual o nome antigo da UFLA?,
Quantos cursos a UFLA oferece?,
Quem é o dono da Oracle,
Qual a cotação atual da Oracle,
Em que ano a Oracle Corporation foi fundada?,
Qual o peso médio de uma Raposa adulta?,
Quantos filhotes uma raposa tem em média?,
Como funciona a dieta de uma raposa?,
O que é um donut?,
Quantas calorias tem um donut?,
Onde o donut foi criado?,
Quando a nanotecnologia surgiu?,
Quais as perspectivas da nanotecnologia?,
Quem inventou a nanotecnologia?,
Para o governo de qual estado Arnold Schwarzenegger foi eleito?,
Quais são os apelidos pelos quais Arnold Schwarzenegger é conhecido?,
Qual foi o primeiro filme da carreira de ator de Arnold Schwarzenegger.,
Em qual posição atua o jogador de futebol Neymar?,Ponta-esquerdo.
Em qual time das categorias de base Neymar começou sua carreira?,Santos.
Quantos gols Neymar Jr. marcou enquanto jogava pelo Barcelona?,105.
Qual o verdadeiro nome de Mahatma Gandhi?,Mohandas Karamchand Gandhi.
Por quantas vezes Mahatma Gandhi foi indicado ao prêmio Nobel da paz?,5 vezes.
Com quantos anos Gandhi aderiu ao celibato?,30 anos.
Por que autor foi criada Nárnia?,
Quando foram incorporadas as Ilhas Solitárias a Nárnia?,
Em que ano Nárnia foi invadida e conquistada pelos telmarinos?,
Qual foi o motivo de construção do Arco do Triunfo parisiense?,Em comemoração às vitórias militares do Napoleão Bonaparte.
Quando foi finalizada a construção do Arco do Triunfo em Paris?,1836.
Por quem foi projetado o Arco do Triunfo?,Jean Chalgrin.
"O que significa o nome ""Afeganistão""?",Terra dos Afegãos.
Qual a religião predominante no Afeganistão?,Islamismo.
Em quantas províncias se divide o Afeganistão?,34.
Por quem foi fundada a LexCorp?,
Qual o nome do quartel-general da LexCorp?,
Quem é o CEO da empresa LexCorp?,
Por quem foi idealizada a UFLA?,
De quantos cursos presenciais dispõe a UFLA?,
Qual a área (em m²) da Universidade Federal de Lavras?,
Quem é o fundador da Oracle?,
Quando foi fundada a empresa Oracle?,
Qual o principal produto desenvolvido pela Oracle?,
A qual família pertencem as Raposas?,
Quantas espécies de Raposa existem?,
Qual a expectativa de vida média de uma Raposa?,
Quantas calorias possui um donut?,
Como é feito um donut?,
O que é um donut?,
O que é nanotecnologia?,
Quais os objetivos da nanotecnologia?,
Quantos titulos Mr. Olympia Arnold Schwarzenegger possui?,
Qual o ultimo filme que ele atuou?,
Onde Arnold Schwarzenegger foi governador?,
Quantas copas Neymar jogou?,2.
Em que ano Neymar jogou no Barcelona?,De 2013 a 2017.
Qual o nome do filho do Neymar?,David Lucca da Silva Santos.
Quem foi Mahatma Gandhi?,"Advogado, nacionalista, anticolonialista e especialista em ética política indiana."
Em que país Mahatma Gandhi nasceu?,India.
Quantos anos viveu Mahatma Gandhi?,78 anos.
O que é Nárnia?,
Quantos habitantes Nárnia possui?,
Teve guerras em Nárnia?,
Onde está localizado o Arco do Triunfo?,"Paris, França."
Quem projetou o Arco do Triunfo?,Jean Chalgrin.
Em que ano foi construido o Arco do Triunfo?,1806-1836.
O Afeganistão faz divisa com que países?,
Qual a capital do Afeganistão?,Cabul.
Qual o fuso horário do Afeganistão?,+4:30.
O que é LexCorp?,
Onde é a sede da LexCorp?,
Qual o ramo de atuação da LexCorp?,
O que significa a sigla UFLA?,
Quantos departamentos a UFLA possui?,
Qual o tamanho territórial da UFLA?,
O Oracle desenvolve que tipos de softwares?,
Qual o preço da ação da Oracle?,
Quando a Oracle foi fundada?,
Qual o reino em que a raposa pertence?,
Quanto tempo uma raposa vive?,
A raposa é um tipo de mamífero?,Sim.
Donut é uma rosquinha?,
Em que país o donut é mais popular?,
Qual a origem do donut?,
O que é nanotecnologia?,
Quais invenções usam nanotecnologia?,
Em que trabalhou Arnold Schwarzenegger?,
Quantos anos tem Arnold Scharzeneger?,
Arnold Schwarzeneger tem filhos?,
Em quais times jogou Neymar?,"Santos, Barcelona e Paris Saint-Germain"
Qual a idade de Neymar?,27 anos.
Onde mora atualmente Neymar?,"Paris, França."
Mahatma Gandi está relacionado com alguma religião?,Sim.
De qual país é Mahatma Gandhi?,India.
Quanto anos viveu Mahatma?,78 anos.
Qual a localização de Nárnia?,
Quantos habitantes tem Nárnia?,
Quantos filmes aconteceram em Nárnia?,
Qual a história do Arco do Triunfo?,Constuído em comemoração às vitórias militares do Napoleão Bonaparte.
Em que cidade está o Arco do Triunfo?,Paris.
Qual a altura do Arco do Triunfo?,50M.
Quantos habitantes tem o Afeganistão?,"35,53 milhões."
Como é o clima no Afeganistão?,Continental rigoroso.
Quantas guerras envolveram o Afeganistão?,15.
Quem é o presidente da LexCorp?,
Qual a missão da Lexcorp?,
O que faz a Lexcorp?,
Quantos alunos de graduação tem a UFLA?,
O que significa UFLA?,Universidade Federal de Lavras.
Quem foi o primeiro reitor da UFLA?,
Para que serve o Oracle?,
O que é Oracle?,
Em quais empresas o Oracle é usado?,
Qual o nome científico da raposa?,
Quantos anos em média vive a raposa?,
Qual animal está na mesma família da raposa?,
Qual o formato de um donut?,
Em qual país o donut foi inventado?,
Qual a origem da palavra donut?,
O que é nanotecnologia?,
Quais os principais materiais usados na nanotecnologia?,
O que tem sido feito com nanotecnologia?,
